Catagories,Salary
MICROBIOLOGY&MOLEC GENETICS,83236.17
HUMAN DEVELOPMENT & FAMILY STD,82870.55
MICHIGAN STATE UNIVERSITY EXTENSION,82754.39
MUSIC,82710.32
ASC PROV FOR UNIV OUTREACH & ENGAGEMENT,82490.8
JOURNALISM,82136.78
GRADUATE SCHOOL DEAN,81747.18
MUSEUM,81384.16
ENGLISH,81193.7
OUTREACH & ENGAGEMENT STRATEGIC INVSTMNT,81140.04
GEOLOGICAL SCIENCES,80848.17
FISHERIES & WILDLIFE,80092.16
MSU GLOBAL,79741.15
MSU GLOBAL,79741.15
COLLEGE OF MUSIC,79723
"ADVERTISING, PUB REL & RETAILING",79385.04
PHILOSOPHY,78399.85
BIOLOGICAL SCIENCE PROGRAM,78097.72
"ARTS & HUMANITIES, RESIDENTIAL COLL IN",77814.64
RESIDENTIAL COLLEGE ARTS & HUMAN DEAN,77814.64
NURSING,77803.55
ZOOLOGY NATURAL SCIENCE,77751.26
INTNL AGRICULT INSTITUTE,77729.15
CREATE FOR STEM,77584.71
PLANT PATHOLOGY,77393.57
MSUE DIRECTOR'S OFFICE,76986.41
BIOCHEMISTRY&MOLECULAR BIO,76850.31
PLANT BIOLOGY,76749.3
ENTOMOLOGY,76564.57
ACADEMIC SERVICE LEARNING,75126.36
HONORS COLLEGE DEAN,74923.48
"SCHL OF PLANNING,DSGN&CNST",74908.88
INTERNATIONAL STUDIES & PROGRAMS DEAN,74821.02
BIOMEDICAL LABORATORY DIAGNOSTICS PROGR,74568.21
SOCIAL WORK,74522.77
GRADUATE SCHOOL DEAN,74498.12
SUPPORTIVE SERVICES PROGRAM,72930.55
KELLOGG BIOLOGICAL STATION,72930.39
LIBRARIES,72929.39
LIBRARIES,72929.39
UOE COMMUNICATION & INFORMATION TECHNOL,71550
RELIGIOUS STUDIES,70891.44
VICE PRES FOR STUDENT AFFAIRS & SERVICES,70859.43
WOMEN'S RESOURCE CENTER,70261
CTR FOR INTEGRATIVE STD - GENERAL SCI,69522.28
COLLEGE OF EDUCATION,69498
CTR FOR ADV STUDY INT'L DEVEL,69459.44
LAND POLICY INSTITUTE,69140.87
UPWARD BOUND,68986.84
CTR FOR INTEGRATIVE STD - SOCIAL SCIENCE,68954.12
HONORS COLLEGE,68886.54
COMMUNITY EVALUATION & RSCH COLLABRTVE,68571.27
NATURAL FEATURES INVENTORY,67762.49
ENVIRONMENTAL SCIENCE AND POLICY PROGRAM,67411.31
ANR COMMUNICATIONS,66657.96
LYMAN BRIGGS COLLEGE,65713.79
LYMAN BRIGGS DEAN,65713.79
COMMUNICATION ARTS AND SCIENCES DEAN,65023.33
WATER RESEARCH INSTITUTE,65000.04
INSTITUTE FOR CYBER-ENABLED RESEARCH,64918.5
"LINGUISTICS,GERM,SLAVIC,ASIAN&AF LG",64886.55
PLANT RESEARCH LAB NAT SCI,64822.32
ROMANCE AND CLASSICAL STUDIES,64726.44
VISITING INTNL PROFESSIONAL PRGM,64152.11
ART & ART HISTORY,63650.58
EXT AGRICULTURE & AGRIBUSINESS MAES,63263.73
COLLEGE OF ARTS AND LETTERS,63229.53
RSCH ON MATH & SCIENCE ED,62911.98
STUDENT-ATHLETE SUPPORT SERVICES,62547.86
"COUNSELING, ED PSY, SPEC ED",62238.65
TEACHER EDUCATION,62236.8
ARTS AND LETTERS WRITING CENTER,62054.76
ASC PROVOST FOR UNDERGRADUATE EDUCATION,61749
VETERINARY TECHNOLOGY,61668.13
BAILEY SCHOLARS,61504.79
TEACHING ASSISTANT PROGRAMS,60000
NATIVE AMERICAN INSTITUTE,59884.25
LATIN AMERICAN STUDIES CENTER,59638.38
DREW LABORATORY,59583
CENTER FOR GENDER IN GLOBAL CONTEXT,59430.96
EXTENSION GREENING MICHIGAN,59081.79
AFRICAN STUDIES CENTER,58627.64
AGRICULTURAL TECH. INST.,58536.66
UNIVERSITY ARCHIVES & HISTORIC COLLECT,58434.77
ADMIN SUPPORT-MLK INITIATIVE,57506.7
A&L INTERDEPARTMENTAL PROGRAMS,57257.45
INTERNATIONAL BUSINESS CENTER,56496
"WRITING, RHETORIC & AMERICAN CULTURE",56447.88
MATRIX,56043
ANR TECHNOLOGY SERVICES,55767.24
UNDERGRADUATE UNIVERSITY DIVISION,54568.85
OFF CAMPUS CREDIT PROGRAM,54364.61
RESOURCE CTR FOR PERSONS W/DISABILITIES,53946.41
THEATRE,53894.83
BIO/COMPUTATIONAL EVOLUTION IN ACTION,53446.1
EXTENSION CHILDREN AND YOUTH,52025.73
EXTENSION HEALTH AND NUTRITION,51590.21
INTRAMURAL SPORTS & RECREATIVE SERVICES,51585.28
GLOBAL CHANGE & EARTH OBS,50082.33
COUNSELING CENTER,49202.56
"PROG IN WOMEN,GENDER& SOC JUST",47577.26
CTR FOR INTEGRAT STD - ARTS & HUMANITIES,46309.04
GREAT LAKES BIOENERGY RESEARCH CTR,44904.39
ENGLISH LANGUAGE CENTER,44192.13
ASIAN STUDIES CENTER,43390.67
RESEARCH TECHNOL SUPPORT FACILITY - MAES,42630
CNS - RESEARCH SERVICES,37530
COMMY MUSIC SCHOOL,36108.23
CTR FOR MICROBIAL ECOLOGY,31193.52
"MATHEMATICS,SCIENCE,TECH AT MSU-HON COL",26627.96
OFFICE OF STUDY ABROAD CREDIT-PROGRAM,0
