Catagories,Salary
PROVOSTS OFFICE,186783.14
UNIVERSITY ADVANCEMENT,188789.8
"OFC FOR INCLUSION, INTERCULT INITIATIVES",189150
COMMUNICATIONS AND BRAND STRATEGY,191000
VP COMMUNICATIONS AND BRAND STRATEGY,191000
VICE PROV LIBRARIES AND IT SERVICES,197803.19
"RESIDENTIAL & HOSPITALITY SERVICES, DIV",198843.84
FINANCE & OPERATIONS VP & TREASURER,202577.97
MSU TECHNOLOGIES,207098.24
MICHIGAN AGRICULTURAL EXPERIMENT STATION,209233.08
ASC PROVOST FOR ACADEMIC SERVICES,220190.28
MSU HEALTH TEAM,231288.18
PERFORMING ARTS FACILITIES & PROGRAMS,248205.24
CANR RESEARCH ACTIVITIES,249023.24
VICE PRESIDENT UNIVERSITY ADVANCEMENT,311000.04
PRESIDENT,376599.98
PRESIDENTS OFFICE OPERATIONS,376599.98
