OUTREACH & ENGAGEMENT STRATEGIC INVSTMNT,81140.04
PACKAGING,89291.10
PATHOBIOLOGY & DIAGNOSTIC INVES,90401.61
PED & HUMAN DEVELOPMENT,115898.88
PEDIATRICS,100456.62
PERFORMING ARTS FACILITIES & PROGRAMS,248205.24
PHARMACOLOGY TOXICOLOGY,101833.37
PHILOSOPHY,78399.85
PHYS MED & REHABILITATION,111108.21
PHYSICAL PLANT ADMINISTRATION,172967.28
PHYSICS-ASTRONOMY,97432.48
PHYSIOLOGY,98144.94
PHYSIOLOGY/HUMAN PATHLGY,85151.18
PLANT BIOLOGY,76749.30
PLANT PATHOLOGY,77393.57
PLANT RESEARCH LAB NAT SCI,64822.32
POLITICAL SCIENCE,107780.60
POWER AND WATER,141873.24
PRESIDENT,376599.98
PRESIDENTS OFFICE OPERATIONS,376599.98
"PROG IN WOMEN,GENDER& SOC JUST",47577.26
PROGRAM IN MATHEMATICS EDUCATION,116710.09
PROVOST-VICE PRES FOR ACADEMIC AFFAIRS,120557.49
PROVOSTS OFFICE,186783.14
PRTNSHP CUT HUNGER POVERTY IN AFRICA,130394.80
PSYCHIATRY,128400.35
PSYCHOLOGY,103947.17
PUBLIC UTILITIES INSTITUTE,141657.00
RADIOLOGY,111297.86
RADIOLOGY/SPORTS MED,99769.95
REGISTRAR,148629.00
"REGULATORY AFFAIRS, OFFICE OF",115248.15
RELIGIOUS STUDIES,70891.44
RESEARCH & GRADUATE STUDIES VICE PRES,179734.95
RESEARCH TECHNOL SUPPORT FACILITY - MAES,42630.00
RESIDENCE EDUCATION AND HOUSING SER ADMN,150800.00
"RESIDENTIAL & HOSPITALITY SERVICES, DIV",157720.16
"RESIDENTIAL & HOSPITALITY SERVICES, DIV",198843.84
RESIDENTIAL COLLEGE ARTS & HUMAN DEAN,77814.64
RESOURCE CTR FOR PERSONS W/DISABILITIES,53946.41
RISK MANAGEMENT,135038.88
ROMANCE AND CLASSICAL STUDIES,64726.44
RSCH ON MATH & SCIENCE ED,62911.98
"SCHL OF PLANNING,DSGN&CNST",74908.88
SE MI DETROIT MEDICAL CENTER,186558.38
SE MI MACOMB UNIVERSITY CENTER,100701.96
SMALL ANIMAL CLINICAL SCIENCES,86851.18
SOCIAL SCIENCE DEAN,113636.31
SOCIAL WORK,74522.77
SOCIOLOGY,96599.75
STATISTICS & PROBABILITY,100887.39
STUDENT AFFAIRS & SERVICES VICE PRES,139872.04
STUDENT-ATHLETE SUPPORT SERVICES,62547.86
SUPPORTIVE SERVICES PROGRAM,72930.55
SURGERY,94273.61
SW MI RESEARCH & EXT CTR,91966.50
TEACHER EDUCATION,62236.80
TEACHING ASSISTANT PROGRAMS,60000.00
"TELECOM,INFORMATION STUDIES & MEDIA",85306.78
TELECOMMUNICATION SYSTEMS,137461.80
THE SCHOOL OF HOSPITALITY BUSINESS,99069.64
THEATRE,53894.83
TRANSLATION SCIENCE & MOLECULAR MED,135157.56
UNDERGRADUATE UNIVERSITY DIVISION,54568.85
UNIVERSITY ADVANCEMENT,188789.80
UNIVERSITY ARCHIVES & HISTORIC COLLECT,58434.77
UNIVERSITY FARMS,143266.92
UNIVERSITY OMBUDSPERSON,154500.00
UNIVERSITY SERVICES,144200.04
UNIVERSITY SERVICES & RECYCLING,144200.04
UOE COMMUNICATION & INFORMATION TECHNOL,71550.00
UPWARD BOUND,68986.84
USABILITY/ACCESSIBILITY RSCH CONSULTING,94622.68
V.P. FINANCE & OPERATIONS & TREASURER,118281.09
V.P. FOR BUS. AND FINANCE PHYSICAL PLANT,152353.66
VETERINARY MEDICINE DEAN,114114.93
VETERINARY TECHNOLOGY,61668.13
VICE PRES FOR GOVERNMENTAL AFFAIRS,180450.00
VICE PRES FOR GOVERNMENTAL AFFAIRS,180450.00
VICE PRES FOR STUDENT AFFAIRS & SERVICES,70859.43
VICE PRES RESEARCH AND GRADUATE STUDIES,94063.79
VICE PRESIDENT UNIVERSITY ADVANCEMENT,311000.04
VICE PROV LIBRARIES AND IT SERVICES,126855.11
VICE PROV LIBRARIES AND IT SERVICES,197803.19
VISITING INTNL PROFESSIONAL PRGM,64152.11
VP COMMUNICATIONS AND BRAND STRATEGY,191000.00
WATER RESEARCH INSTITUTE,65000.04
WOMEN'S RESOURCE CENTER,70261.00
"WRITING, RHETORIC & AMERICAN CULTURE",56447.88
ZOOLOGY NATURAL SCIENCE,77751.26
